Topic,Count,Name,CustomName,Representation,Representative_Docs
9,40,9_hair_skin_face_form,Unexpected Sim Behavior & Social Issues,"['hair', 'skin', 'face', 'form', 'syndrome', 'tone', 'normal', 'same', 'scar', 'look']","['Changing skin tone for non-vampire form?:\nI’m getting back into playing Sims 4 after a long hiatus, and I started a new vampire build. I’ve transformed my sim into a vampire and, after just a few in-game days, my “normal,” non-vampire form looks almost identical to my dark form for some reason? I was able to go in and remove the vampire ears, eyes, skin features, etc., however my normal form still has the pale dark form skin tone. I’ve ensured my dark form and normal form aren’t linked, but I can’t figure out how to change the skin tone back to a normal skin tone for my normal form. I can’t see an option to change the skin tone under the “body” tab. Through the bit of research I’ve done, it looks like this may be a recurring bug, but I’d really like my normal form to look, well, normal. Any fixes to this anyone is aware of? ', 'Same face syndrome? Help!:\nhey everyone! \n\nAfter not playing the game for about a year I got back into it about 2 months ago. \n\nLast time I played I removed all of my cc (which I now regret) and found myself in a weird situation…\n\nAfter downloading and trying new CC I fear I’ve became a same face syndrome simmer. In the past thanks to the heaps of face details CC I used to used it made my sims look pretty different from eachother but now I feel like they look all similar.\n\nIs it because I was still doing it back then but not noticing because of the heavy amount of CC or is my observation true?\n\nThese are 3 sims that I did in the past 2 months that I have been playing \n\nHelp!!!', ""I need rainbow hair for horses in the sims 4:\nHi, does anyone have a cc for rainbow hair for horses?\n\nI feel like I've searched the whole internet and I can't find anything. The closest to colorful hair I've got was a cc that had white hair with streaks but that's nowhere near what I'm looking for.\n\nI really need rainbow hair and also tri-color streaked hair. And my dream would be to have more color swatches because the vanilla unnatural colors are way too pastel. I want to be able to make the horses have dark blue hair and stuff.\n\nI feel like there is a lack of hair cc for horses. Does anyone know why is that? Is it too hard to make a cc like that or just nobody wants to?""]"
10,38,10_grim_reaper_him_his,Grim Reaper Gameplay Glitches & Oddities,"['grim', 'reaper', 'him', 'his', 'to', 'of', 'the', 'vlad', 'he', 'hes']","['HELLO WHAT GRIM??:\nSo…. My female sim tried for a baby with grim…had a baby….and now grim is WHAT', 'I made Vlad have a baby with the Grim Reaper to see if his prominent chin canceled out the grimborn no-chin?:\nWell hello there. \n\nNo one asked for this. Absolutely no one. But for some reason, a question started itching at the back of my mind. What if you took Vlad, a sim with arguably one of the most prominent chins in the game, and paired him with the Grim Reaper? Would his chin that sticks around through so many generations of ‘breed out the ugly’ cancel out the Grimborn vanishing jawline glitch?\n\nSo I spent tonight dedicated to the scientific study of this question. I created a new save for this, because I obviously wasn’t going to use my precious Grim from my main save. 😅 \n\nAfter setting Vlad as able to get pregnant , and using the Grimophone to summon dear old Grim, Vlad was quickly was able to try for a baby (he was somehow an expert at romance but couldn’t get his friendship out of the red). Then, I waited for Vlad to be full term. Grim got asked by…himself…if he was interested in joining the reaper career. Vlad slaked his thirst on a random townie on the front step of the bar. ‘Nothing to see here…just a tender neck kiss. He’s fine.’ -Vlad, probably \n\nThe resulting spawn, Clementine (I just picked the first random name ok) Straud….was interesting looking. Deathly pale, and she somehow inherited red hair from someone. I aged her up and she stayed interesting looking. I moved her eyebrows to a more realistic position but otherwise left her unchanged other than adding makeup and giving her an actually matching outfit. \n\nThe experiment’s result? Turns out the glitch is stronger than Vlad’s chin. But she isn’t the most ugly. Thank you for reading my study. \n\n', 'Accidentally deleted Grim Reaper:\nHello. I recently used cheats to add the Grim Reaper to a household/family. However, I ended up deleting the household, forgetting that Grim Reaper was part of it. Now, whenever someone dies, Grim doesn\'t arrive, but instead a ""Soul Reaper"" does.\n\nAre there any ways to bring back the Grim Reaper? I\'m open to mods if need be. Thanks!']"
11,36,11_the_why_in_water,Design Oversights & Missing Cross-Pack Functionality,"['the', 'why', 'in', 'water', 'sims', 'dirty', 'food', 'sink', 'hate', 'drink']","[""Anyone else annoyed by how bad plantsims are to play?:\nI'm not even gonna get into the fact that being a plantsim is only temporary, or that you can't change your hair or skin color, or lack of any significant gameplay because those are all fixable by mods. \n\nWhat annoys me the most is the water motive. Sure, it sounds good at first, until you try to play a plantsim. \n\nMy idea was to play a plantsim that lives completely out in nature, no house, no anything. The thing is, the water motive goes down insanely fast while out in sunlight; it's to the point that my sim can't even survive half a day out in nature without having to hop in a shower or risk drying out.\n\nWhy would they make it so that a sim who is a plant cannot live outside??"", ""Sims 4- Mod Recommendations for Eating and Drinking At the Same Time?:\nLike the title asks, I'm wondering if you guys have any recommendations for mods to make my Sims eat and drink at the same time. I hate that, if I want to have my Sims have some coffee with their pancakes, or something similar, I have to cancel the eating action, make them grab the drink, then have them eat again. Not to mention that, most of the time, they finish the meal first, then start on the drink. \n\nI found [this mod by LittleMsSam](https://www.curseforge.com/sims4/mods/rsm-auto-grab-drink-when-eating), and I have a good few of her mods in my load order already, so I know they're quality, but this one hasn't been updated since October, and a few of her other mods which haven't been updated, like [Quick Shower & Bath](https://www.curseforge.com/sims4/mods/quick-shower-quick-bath), aren't working in my personal experience, so I'm a bit wary. Regardless, any recommendations would be appreciated, or any advice you guys have for things I can tweak in the base game to make the Sims a bit more inclined to eat and drink at the same time. "", ""sims aren't using the jump platform in my small business?:\ni have businesses and hobbies and i also have get together. i built a pool with a fence around it and also the jump platform from get together, and i set the small business activity as swim. but all the customers are doing is be on their phone and dancing for some reason. idk if it's because the game treats the jump platform as a separate thing from swimming or if they're just being stubborn, but if it's the former, then i'm pissed. I know they could, the business activities work almost exactly like the clubs from get together and the get together clubs have use the jump platform as a club activity, but for some reason it's not in the small business activites panel, and I know it's not a cross-pack thing, like they forgot to add cross pack compatability, because i also have backyard stuff and one of the possible activities is to use the slip and slide thing. is there any way I could make them use the jump platform?""]"
12,36,12_pregnant_baby_alien_sim,Sims pregnancy gameplay,"['pregnant', 'baby', 'alien', 'sim', 'fertility', 'got', 'her', 'shes', 'abducted', 'my']","['Made a male sim so I wouldn’t have any babies and he went and got pregnant by aliens😭:\nI had him doing so well in his career and he was about to go to space and now he’s fucking pregnant😭', 'THIS IS THE CRAZIEST WAY TO FIND OUT MY SIM IS PREGNANT:\nSo my simselfs daughter, who is now married to cassandra goth, just had a science baby with her wife. Its the NEXT day after i remodeled the home, and had them stay home with the baby for the day, AND SHES PREGNANT FROM TRYING TO HAVE A BABY!!! \nI dont know with who? shes only gone jogging and to work since Princeston was born! Im so upset because i dont have MCCC so i cant even so anything🤦🏼\u200d♀️ Im so upset rn WHO IMPREGNATED MY LESBIAN DAUGHTER 😫', 'Alien Sim got Abducted By Aliens and is now Pregnant With Alien Baby...:\n']"
13,35,13_cat_my_kittens_olive,Cat Adoption & Pet Gameplay Issues,"['cat', 'my', 'kittens', 'olive', 'cats', 'in', 'eat', 'to', 'and', 'this']","['How do I adopt this cat?:\nHow do add this cat to my household, I’m doing a rags to riches with my teen sim and I wanted her to get this cat, Molly, because they’re good friends, but I can’t find her in manage worlds. There’s no option to adopt, I even tried to do it through the phone, but I just can’t find a way. I’m on console, so I can’t just use a mod to do it, any suggestions?', 'How the hell did my male cat, who has never even been around another cat, give birth to kittens?!:\n', ""My family doesn't have a cat:\n""]"
14,35,14_baby_to_and_babies,Broken Early Life Stage Gameplay,"['baby', 'to', 'and', 'babies', 'they', 'the', 'infant', 'of', 'sims', 'just']","[""The Infant Update Is EA's Most Sinister Marketing Move To Date:\nAs I'm sure you've all noticed, the Infant Update is significantly lacking in content, and that's because it is essentially just a demo for the Growing Together expansion pack. \n\nNot only have they decided to paywall basic items like the changing table and playmat, but also INFANT SKILLS like learning to crawl and stand.\n\nYou cannot host baby showers without the expansion pack, you have to just throw your infant's dirty diapers on the floor, and most interactions between sims and their infants are just as broken as they are with toddlers.\n\nBasically, without buying the expansion pack, you will now just have a less-independant version of a toddler in your house that is functionally useless and offers little to nothing to gameplay except to make things... more difficult and annoying?\n\nThey're just a nuisance. A nuisance you can improve by BUYING your way into the actual content.\n\nThis is a majorly heinous tactic on the part of EA. If you're not planning on buying Growing Together right away or at all then, well, now you just have two life stages to skip instead of one. And you get to maneuver around this blatant and aggressive marketing campaign in the meantime."", 'The goth child has been stuck inside my restaurant for days. HOW DO I GET HIM OUT?!:\nLil bit of info, I’m playing the Sims 4 on a desktop. My game is fully updated, as are all my mods. \n\nAlexander Goth came into my restaurant with his parents as a customer like 8 in game days ago. They got their food. They ate. They left. But they didn’t take their kid with them. Instead he just stayed there. After a few days of sitting in my diner with no way to care for his needs, I got the notification that child services was taking him away. I thought that would fix things. It did not. And now, I can’t just switch to the Goth family and make him go home, because after being taken away, he technically isn’t a family member. It’s like the game doesn’t recognize his existence but he’s still there. His needs don’t decay (from what I can tell, anyway. He never appears filthy, and the exclamation bubbles never appear to indicate anything he needs) but he can still interact with things and talk to my sims. He talks to them so much, in fact, that they neglect their needs to chitchat. I’ve tried using cheats to kill him, being mean to him to make him want to leave, etc. But I guess he thinks this is home now. \n\nHow do I make him realize that this is not, in fact, his home, and get him out for good? ', ""Simple suggestion for the Sims Team that would improve babies, infants, and toddlers 1 million percent!:\nAs we all know, babies, infants and toddlers can be really annoying to play. One large reason for this is because it's so difficult to coordinate your Sims' interactions with them. For example, the baby is crying. Sim A is standing next to them. I tell Sim A to feed the baby. Instead they immediately wave their arms and complain that they can't path to the baby. The reason is that on the other side of the lot, Sim B has autonomously decided to feed the baby and are blocking Sim A. So I have to select Sim B, cancel their action, then go back to Sim A and choose theirs all over again.\n\nThis happens all the time, and is a big part of why it can be so frustrating to have baby sims in your house. And the solution is so simple: Just give priority to player selected actions over autonomous actions. So, in the above scenario, I tell Sim A to feed the baby. The game detects that Sim B is already on their way to do it. But Sim A's action was player selected and Sim B's was autonomous, so it should cancel Sim B's action and allow Sim A to carry out theirs.\n\nAs someone current raising Sim triplets, this little fix would improve my life immeasurably!\n\n(Also, while we're at it: 99% of the time you click on a baby Sim, you will be trying to do one of two things: Feed or Change Diaper. Both of these used to be on the front page of the action menu, accessible in just 1 click. They are now buried under More Choices... and then Baby Care... and so take 3 clicks to reach. This is incredibly frustrating. They should be moved back to the front page.)""]"
15,32,15_werewolf_ghosts_occult_occults,15_werewolf_ghosts_occult_occults,"['werewolf', 'ghosts', 'occult', 'occults', 'werewolves', 'ghost', 'the', 'is', 'and', 'skill']","['Occults - werewolf and fairy at the same time?:\nI started a new save with a new Sim and I’m about 10 days into the save and she is constantly dying from energy regeneration from being a fairy, and she’s also raging and glowing red from being a werewolf all at the same time. I haven’t set her as any occult and in CAS it doesn’t say that she’s either of those things. I’ve changed it to make her be an occult, saved, and then removed it, saved, but it doesn’t change anything. I’ve gone through MCCC to try to change anything I could, but I still can’t find a way to turn her into a regular human. Any ideas? :)', ""Werewolf habilities are now useless thanks to enchanted by nature? 🤔🤔🤔:\nAs the ones who had played with the Werewolves Game Pack know, the Werewolf occult skill tree includes the possibility of unlocking the “Forage here”, the “Sleep on the ground” and the “Wash oneself” interactions . But the new expansion pack recycled this habilities to be unlocked even for Sims without an occult just to sell it like something new, so now it really doesn't make sense to bother with werewolf gameplay anymore. Now what is the point of that game pack if we already have the abilities we used to work for completely unlocked? "", ""So I have...concerns about the upcoming Life and Death pack.:\nIts mostly about the fleshed out ghost skill tree system thats coming with it. I worry about how this is going to integrate with other occults currently in the game if at all. I say concern, but it's actually equal parts concern and curiosity.\n\nRight now ghost are the only occult type that allow for integration with other occult types, what do I mean by this? Simply put, ghosts are the only occults that allow dead sims to retain the occult status they had in life i.e Vampire ghosts, Spellcaster ghosts, Werewolf ghosts etc and they all still have access to their own skill trees and abilities after death.\n\nNow that ghosts are getting their own skill tree like Vampires, Werewolves and Spellcasters, (a moment of silence for mermaids, aliens and plantsims) I find myself wondering how it's all going to function. Will choosing to continue as a playable ghost remove a sims previous occult status as a vampire, werewolf or spellcaster and replace it with the now expanded ghost occult or does it continue the function in the same way as before and allow for a combination of the two.\n\nNow I'm hoping that it's the latter but then that still leaves up the question of how that would work. I assume the ghost skill tree will be accessible in the same means as the trees for the other occults, which is through a button in a sims needs tab. But then if that's the case what happens to the skill tree of the other occults? Will there be an option to choose which skill tree you wish to access when you want to? Also how would the needs tab even look like in the case of vampires who's bladder need are completely non-existent and have their hunger and energy needs are replaced with Thirst and Vampire Energy? Thoughts?""]"
16,31,16_name_disallowed_generated_batuu,16_name_disallowed_generated_batuu,"['name', 'disallowed', 'generated', 'batuu', 'townie', 'randomly', 'this', 'gallery', 'winter', 'port']","['This is the worst randomly generated name I’ve seen :\n', 'Disallowed Name??:\nI have the cutest little family that I want to upload and it keeps telling me I have a disallowed name but what in Anderson (the last name) Kristen, Lacie, and Carson is disallowed???', 'Apprently “Batuu” is now a disallowed word in the gallery:\nI was making a space port for the astronaut career that only used items from base game and Journey to Batuu, and spent forever trying to figure out what could possibly be wrong with my description.\n\nThe words I suspected were “astronaut”, “has”, (maybe “as” was flagged), “hang”, “nocc”, “space”, “rocket”, and “port.” I couldn’t figure it out so I finally just had no description and it turns out that the word it blocked was “Batuu.” I then removed it, re-added basically the same description, and it worked.\n\nA couple months ago I had made another gallery post called “Batuu Casino” and that was fine, so it’s a little disappointing that I had to change the title. Also makes no sense since it’s literally part of the name of one of the expansions.\n\n(In case you’re wondering, it’s now called “Desert Space Port”)']"
17,30,17_wedding_they_sims_then,17_wedding_they_sims_then,"['wedding', 'they', 'sims', 'then', 'the', 'my', 'at', 'so', 'and', 'now']","[""Sims 4 Sims are super moody asf?:\nI have a small internet cafe home business. I think 2 repairmen have died to electrocution when I hired them to fix the computers.\n\nAnd my couple starts mourning him. Literally for days.\nAnd then they go from being Very Sad to Flirty in a second.\nThen to Focus.\nThen they go for Energized.\nI mean it's all over the place. My sim sleeps with happy green emotion. Then wakes up and suddenly starts fearing the darkness.\nThe wife sim got scared by a ghost, then she also starts laughing at it? Then goes to argue with it?\nAlso they ignore commands several times as well, especially when the business is ON and there are about 13~15 Sims on the lot.\nThe lot size is small and it is only a single storey building with very straightforward pathfinding. Yet they seem to get stuck or something.\nIs this all a normal thing? Or is something wrong with my game?"", 'Lovestruck has been pissing me off.:\nThese relationships are so all over the place. One minute everything is fine and then suddenly they keep getting negative reactions from each other. Not to mention the stupid sentiments thing that never goes away no matter how many time you apologize for NOTHING cause what in the world even happened. \n\nMy gosh. I don’t wanna have to worry this much about these sims 😭 What are you so unsatisfied in your relationship for?? Nothing even happened!!! Every sim I meet just becomes a damn cry baby after not talking to them for a while ugh I wanna drown them in a pool!!!! The current parter of my sim keeps saying I’m constantly being mean to him when shes literally minding her own business grilling food! All they do is flirt with each other! What do you want 😩\n\nManaging these sims relationships has just become a pain. They feel as annoying as pets who constantly need attention. So annoying. \n\nI was having fun initially but it’s just become so annoying after a while. Hows everyone else’s experience? ', 'I’m so mad..:\nSo recently, I decided to finally try to make a 8+ generational family. I’ve been a sims playing since I was 6. I’m 23 now, and have never made it past third generation. Like I get so bored and just move on from the family. Or even the world. So I was like Yea know what I’m going to make this work. So I make a beautiful sims, make their friends pretty, have them have parents and I’m finally in my first ever third generations. So I make the wedding,\n\nFirst mistake, did it at my house somehow. But okay whatever, Heard wedding stories gotten fixed (from where, idk but mine was buggy as heck) but I’ll make it work. I invite everyone over, yet no one is in the proper attire. Okay whatever. Can handle.  My sims get married, okay now I want to slow dance. \n\nI kept clicking but nothing. All of a sudden fire breaks out. Just randomly too. There’s no fire places or any technology near that area. \n\nSecond mistake, calling the fire department. First it took nine tries, then they are like “We’re coming over there right now” by then three people have died. So now I’m scared for my generation heir. I just had a baby and I really don’t want everyone to die. By now my baby is STRAVING and I cannot feed her because my sims can’t do anything. Fire department gets there GREATTT, nope not great. They stand outside freaking out. I called them again and they say their are already there BUT THEY ARENT DOING ANYTHING. NOW TWO MORE PEOPLE ARE DOWN. they get inside and I get hopefully, nope they start making drinks at the bar across from the fire. \n\nThird mistake, thinking that only five people will die. Fire finally got put out, but what cost? Insurance gave me 1,200. But all together it was 4,000 to fix. My couch got burn, rug, dinning room table, desk and chair, another rug, and photos from the two previous generations. But sadly almost all my guest died. Ten people died, six of them I got to make like a bowling pin area. My sister, mom, dad, two brothers, best friend, my husband mom and dad, a random towny that just showed up and my gen one heir grandma. So both of our families were wiped out in a matter of five minutes? \n\nAnd this should be on me, because to be fair it was four am and I should’ve really been in bed. Now the only people my sims know are her exs and their only child who somehow didn’t get taken away from starvation. And it ruined like all the story line I had going for them. I’ve had fires happen in the sims, main people die a lot of the times but never like a whole wipe of people. \n\nMy mouth was dropped as I watched helplessly. \n\nThis has been two weeks now, and I still haven’t got back on and haven’t even played the new pack I got just out of pure pettiness LMAO if the fire department showed up when this happen and actually try to put the fire alarm out, a lot more people would be here today… and at the end they had the guts to do that love struck dance…. They grinded as grim did his job….']"
18,21,18_sim_my_died_her,18_sim_my_died_her,"['sim', 'my', 'died', 'her', 'herself', 'passed', 'at', 'friend', 'dying', 'time']","['I chose to have friends in school. I went to the bathroom and when I came back I saw this. I couldn’t but to start crying, as the friend shares the same name as my best friend who passed away last year. I didn’t place her in the world, it was completely random and my Sims first friend.:\n', ""My sim's wife recently passed away. First night as a ghost I find them cuddling. 😭:\nBawling my eyes out with my mom who I showed this too.  Lost my dad 2yrs ago and we joked he haunts mom.  Damn I wish this was real so my mom could hold dad again. "", 'What is the creepiest thing that\'s happened in your game? :\nI\'ll go first: \nMy teen sim was hanging out with her cousin and her aunt when suddenly they all said ""Yibs!"" at the exact same time. They all have different voices so it was obvious it was all 3 of them, plus their mouths moved at the same time.\nI wish I had video of the event. My soul left my body. ']"
19,21,19_horse_horses_the_or,19_horse_horses_the_or,"['horse', 'horses', 'the', 'or', 'for', 'my', 'invisible', 'this', 'to', 'kitchen']","[""Oh how the tables have turned:\nEarlier I posted about my horse taking a shit in my sim's kitchen. Now he's watching my sim in the bathroom. What is wrong with this horse lmao, he looks traumatized"", ""Why are horses SO annoying!?:\nI'm probably late to this party because I fell back into one of my 'play the Sims for 1 week straight after not touching it for six months' loops - and I remember seeing a LOT of backlash for the Horse pack when it first came out, but since it was more than half off, I decided to add it to my catalog, but my god. I was NOT prepared for what a wreck this expansion seems to be. \n\nI was excited to make a story for a horse-girl with a dream to be a professional rider and everything, but.... For one, I didn't realize the horses just bust into the house at all hours of the day ALL the time. It got the to point where I thought my sim was going to die because the damn horse kept getting in the way and every time I told her to eat, she'd stop and get up to talk to the damn horse in the kitchen. When I finally realized I could lock the door for horses I thought it would be fine, but now the horse literally comes up to the house and STARES IN THE WINDOWS and my sim again, will abandon ALL TASKS to go outside to the horse. \n\nMind you, the horse is full stats, it's FINE, while my sim is starving and refusing to eat to talk to the horse. (And also the horse was 'independent'). My sim's toddler brother got taken by child services because of this damn horse too. \n\nAt the end of the day, it drove me so crazy that I murdered my horse. Which was great for a while, but now I noticed that like every family has a horse so I feel like they're out to get me now. \n\nThe mini-goats and sheep are adorable though, they can stay in the house."", 'Invisible horse:\nhiya i’m kinda going crazy trying to fix this. i have a household with two horse and both of them have invisible bodies. I can see their heads, hooves, and tails but their entire torso is completely invisible. I’ve looked everywhere and tried everything I can find but nothing has worked. I’ve repaired my game, reset the sims (with shift clicking, mc command center, and the cheat), disabled mods completely, deleted my local cache but every time i load the game, boom, no horse body. i have no idea what’s causing it and i’ve spent two hours troubleshooting to no avail. if anyone has any info or fixes or anything i would really really appreciate it, thank you <33\n']"
20,19,20_ea_eas_price_leaked,20_ea_eas_price_leaked,"['ea', 'eas', 'price', 'leaked', 'trust', 'roadmap', 'their', 'this', 'earmuffs', 'dont']","['EA App Leaks Roadmap:\nI guess EA has evolved from having their content leaked to now leaking it themselves. The roadmap was on the EA app before it got removed. It appears to look the same as the roadmap that got leaked by Medkiller12, just with different colors. What are you guys’ thoughts? ', 'has anyone else noticed price increase?:\nopened the EA app today to discover that the new ‘lovestruck’ pack will retail for $70 (without EA membership while the other packs still remain at $50 full price. unsure if this is a glitch on EAs side but it feels like it isn’t. \n\ndoes anyone know why they have all of a sudden raised the price by $20! i know a lot of people don’t buy on release day / pre porder but i usually do and i was so disappointed seeing this price kinda made me lose interest in the whole pack. \n\nthis is all in NZD btw xx', 'Permanent Paywalls in The Sims 4 CC – What Do You Think?:\nAccording to EA’s official guidelines, Sims 4 custom content and mods can be shared with early access, but after a reasonable time they must be released for free. Permanent paywalls are not allowed. However, I’ve noticed that some creators still keep their content permanently locked behind a paywall, even months after release. This seems to go directly against EA’s rules. Examples include Leosims, Pixelvibes, Cowbuild, Sallysims, AggressiveKitty, Plushpixels, Mechtasims, and Pacosims. What do you all think about this? Should EA enforce their policy more strictly, or is this something the community just has to live with?']"
21,18,21_dog_dogs_potty_rodents,21_dog_dogs_potty_rodents,"['dog', 'dogs', 'potty', 'rodents', 'wrong', 'hold', 'this', 'interaction', 'my', 'cats']","['Dog came into my house to die:\nThis stray dog entered my home, laid down and died. First time I’ve had this happen in years of playing! ', ""That's not how you hold a dog!:\nI clicked on the dog's picture at the bottom of my screen because I couldn't find them, and it just brings me to this lol. I've never seen this happen with pets before, only infants."", ""I think there's something wrong with this dog 😂:\n""]"
22,17,22_vampire_vampires_human_to,22_vampire_vampires_human_to,"['vampire', 'vampires', 'human', 'to', 'offspring', 'she', 'crush', 'his', 'challenge', 'growing']","['vampire buffs as a human:\nmy sim is 1st gen and definitely not a vampire but she keeps getting these sad moodlets about dreaming of being human? ', ""Made a tragic vampire for my save 🥹:\nShes a gluttonous lovebug that loves physical affection ); and has a crush on my sims' adopted son, Deacon! She is constantly ravenous but tries her best to stay under control while with her crush. She wants to cure her vamprism and if she doesn't she hopes go have a vampire family some day. "", ""Is there an easy way to see which offspring are born as vampires?:\nI'm doing a 100 baby challenge with a vampire male and I'm trying to breed asany vampires as I can into the world.\n\nBut I'm trying to see which of his offspring are born as vampires and it's hard because half the Sims don't live in the world. \n\nIs there a way to see without tracking every single one down?""]"
23,17,23_pack_dogs_cats_packs,23_pack_dogs_cats_packs,"['pack', 'dogs', 'cats', 'packs', 'expansion', 'that', 'we', 'new', 'buy', 'like']","['What’s one pack you wouldn’t buy NOT because it’s terrible:\nI feel like there’s a lot of discussion around packs that people think are below par and that’s why they wouldn’t buy them (ie. Batuu, My First Pet, Luxury Party) But what’s a pack that you just wouldn’t buy for whatever reason: doesn’t fit play style, CAS/bb not your style, don’t feel you need that feature, etc. \n\nFor me I just think adding the souls journey from Life and death just feels like too much work on top of all the stuff I already have to do for my sims aspirations, character values and careers. The pack looks cool and can see wanting to play with that feature but I know it would be too much for me. ', 'Cats & Dogs should become free like the base game.:\nI love TS4, it\'s one of my most played games ever, and I\'ve been playing it almost as long as it\'s been out. But given its lifespan, Cats & Dogs just doesn\'t measure up as a pack anymore. I think it\'s time that EA made it free to play permanently like the base game. At the very least, it needs a pack refresh if they\'re going to keep charging players to use it. Here\'s why:\n\n1. The textures. Oh my goodness, they are so outdated. The pets themselves are okay only because Simmers do the legwork of uploading incredible pets to the gallery. I will never not use a gallery animal if I want a specific breed in my family that actually looks like that breed. Also, have you looked at the build/buy textures? The cat trees and decor look ridiculous in my house filled with items from newer, more visually refined packs. It\'s even harder to match the items with the furniture, which brings me to my next point...\n\n2. WE NEVER GET NEW CONTENT. With Cats & Dogs locked behind a pack paywall, they never give us new items in SDX drops (mama I miss you), BG updates, or new packs. God forbid they give us a pets kit, we saw how that went over with My First Pets Stuff (and rightfully so!). We are stuck with outdated assets and outdated gameplay. Further, there are new breeds being recognized by the AKC and other world organizations that won\'t be added to the list of breeds in CAS because it never gets updated.\n\n3. We need more interactions and gameplay. Horse Ranch gave us fun horse training, and it made me sad that we\'ll never see anything like that for dogs. The dog training skill is SO lame, and you can\'t do much with it. I would love to see more dog sports, like Agility or Barn Hunt, but we won\'t. It\'s such a bummer! We got a few interactions with animals for infants but we know EA has more or less completely forgotten about pets in the game.\n\n4. If everyone had access to Cats & Dogs, it might encourage the team to go back and fix some bugs or make QOL changes to how it runs. Like I said, it badly needs a face-lift!\n\nThe solution: Make Cats & Dogs free like the base game. Everyone who wants it can have access. Then EA can start churning out kits for BB and CAS, they can justify the occasional SDX drops, they can make the odd Stuff Pack to add more gameplay. If people don\'t want to install Cats & Dogs, they don\'t have to, but it will give EA an easy way to promote more content and increase player engagement. It\'s been enough time since Cats & Dogs came out that I truly would not be bothered if it was made free.\n\n""But, mods!"" As we say on literally every other post like this, not everyone has access to mods. And not everyone wants to deal with mods and cc potentially needing updates down the road.\n\nAnyway, thanks for reading my rant 🤣\n\nEdit: I\'m living for how controversial my hot take was LOL', 'Can they just go ahead and collapse My First Pet into Cats and Dogs already:\nIt\'s been seven years. With ""pack selection"" being a thing now, I only find myself more irritated that clothing for dogs and cats, dog and cat furniture, and *a single cohesive set of children\'s furniture* is strewn across two different packs, requiring me to select two packs just to get full access to a single gameplay or aesthetic ""theme"". I don\'t feel like this for any other combination of packs, even ones that have similar visual styles or complement each other mechanically. \n\nI wasn\'t even around for the initial backlash against MFP, but I can\'t imagine it would be *that* bad for them financially, this late into the game, to just merge what was clearly cut C&D content back into the main pack. ']"
24,16,24_gnomes_plants_harvestfest_these,24_gnomes_plants_harvestfest_these,"['gnomes', 'plants', 'harvestfest', 'these', 'and', 'seasons', 'holiday', 'they', 'is', 'the']","[""Evil Gnomes in my house?:\nHas anyone had evil Gnomes randomly appear in their house? I literally didn't even have any Gnomes on this lot, it's not harvest fest, my sims are not fairies and they don't have any ailments. The Gnomes just showed up and started a fire on my children's birthday, and have shown up like 3 times since then to break all my appliances and fill my house with trash. I have literally no idea why they keep showing up and it's stressing me out. I tried to delete them but they keep coming back. Help!!"", ""OMfG I Can't With These Flipping GNOMES!:\nNo, no one has the Gnome-attracting ailment, but they seem to like to turn up at my Sims' home (which is on a Fairy Byway or whatever the lot trait is) and while they aren't angry or destructive, my Sims like to *DECIDE FOR THEMSELVES* what gets upgraded and how. \n\nNo, they do *NOT* want the fireplace to Auto-Light. It was already upgraded with Fire Guard for safe use when they CHOOSE to use it. No, the refrigerator is *NOT IMPROVED* by a polluting fuel cell upgrade. I run it off power that I already make green and you are going to fubar my Eco Footprint. \n\nI sell every gnome I see as soon as it spawns, but I may be shopping for a way to make them stop turning up AT ALL because the upgrades are instantaneous. Replacing appliances and plumbing is getting expensive. This is intensely unwelcome and intrusive and I don't see a flipping toggle! Criminey!"", 'No seasons in the Life and Death world?:\nSo yeah. Just found out that EA be doing EA things and didn\'t include seasons in the new world. Apparently this was an intentional choice (lore, death, ""frozen in time"" or some ethereal bullshit) but I really hope that was an oversight and they\'re just winging it with that excuse.\n\nBecause first of all, wtf?! If you have ""Life and Death (and Rebirth)"" as a theme, what better way was there to accentuate it than the seasonal cycle? It makes zero sense to remove it on purpose.\n\nSecondly, the world is based on Romania - and as a Romanian (or Moldovan, but hey! Same hat) AND a winter lover, I am mad pissed!!!\n\nLike look, they could have made the ghastly forest location with a permanent autumn zone (similar like it\'s always snowy in the mountains of Mr. Komorebi) but not implementing it all together is just... AARGH!!!\n\nWhat\'s your thoughts? Am I just a frosted freaky old man yelling at a nonexistent cloud? Or is the majority actually okay with this? Genuinely curious.']"
